,TIPLOC,TOC_New_x,TOC_New_y
346,BRNYARM,LE (100.0%),
347,BROADFO,SR (100.0%),
348,BROADGR,NT (100.0%),
349,BROCKLY,LO (78.93%); SN (21.07%),LO (18.49%); SN (24.52%); TL (56.99%)
350,BROMLYS,SE (72.76%); TL (27.24%),SE (44.48%); TL (26.16%); ZZ (29.36%)
351,BROOME,AW (100.0%),
352,BRORA,SR (100.0%),
353,BROUGH,GR (1.63%); HT (8.79%); NT (69.23%); TP (20.35%),GR (33.33%); HT (2.78%); NT (33.33%); TP (30.56%)
354,BROXBRN,LE (100.0%),LE (100.0%)
355,BRRHL,SR (100.0%),
356,BRRYLNK,SR (100.0%),
357,BRSCGHB,NT (100.0%),NT (100.0%)
358,BRSCGHJ,NT (100.0%),
359,BRSDE,SR (100.0%),
360,BRSR,SE (99.36%); ZZ (0.64%),SE (100.0%)
361,BRSTLTM,GW (84.29%); WR (0.06%); XC (15.65%),GW (63.16%); ZZ (36.84%)
362,BRSTPWY,GW (68.07%); XC (31.93%),GW (83.87%); WR (3.23%); XC (3.23%); ZZ (9.68%)
363,BRTJYC,EM (100.0%),
364,BRTWOOD,XR (100.0%),LE (95.12%); XR (4.88%)
365,BRUCGRV,LO (100.0%),
366,BRUNDAL,LE (100.0%),LE (100.0%)
367,BRUNDLG,LE (100.0%),
368,BRUSTAN,SR (100.0%),
369,BRUTON,GW (69.68%); SW (30.32%),GW (100.0%)
370,BRWCKUT,GR (53.12%); TP (15.28%); XC (31.6%),CS (2.69%); GR (59.42%); LD (20.85%); WR (0.22%); XC (16.82%)
371,BRWHINS,TW (100.0%),GC (13.93%); GR (9.44%); NT (76.63%)
372,BRYN,NT (100.0%),
373,BRYSTNS,NT (100.0%),
374,BSCTSTA,LM (100.0%),AW (2.11%); LM (92.29%); LS (0.27%); VT (2.05%); WR (0.14%); XC (3.14%)
375,BSDN,SR (100.0%),SR (100.0%)
376,BSHB,SR (100.0%),SR (99.81%); ZZ (0.19%)
377,BSHPSFD,LE (100.0%),LE (100.0%)
378,BSNGSTK,SW (87.17%); XC (12.83%),LS (0.32%); SW (82.43%); XC (4.95%); ZZ (12.3%)
379,BSPSBUS,GW (100.0%),
380,BSSN,SN (100.0%),
381,BSTD,SE (100.0%),SE (100.0%)
382,BSTEDMS,LE (100.0%),
383,BSTWDPJ,EM (100.0%),EM (100.0%)
384,BTCHWTH,GW (100.0%),GW (100.0%)
385,BTHGATE,SR (100.0%),CS (100.0%)
386,BTHNLGR,LO (100.0%),CC (2.86%); LE (61.07%); LO (4.33%); XR (31.74%)
387,BTLRSLA,LM (100.0%),
388,BTLSBDG,LE (100.0%),
389,BTLYSY,NT (100.0%),
390,BTRSBY,NT (100.0%),
391,BUCKNHM,LE (100.0%),
392,BUGLE,GW (100.0%),
393,BUILTHR,AW (100.0%),
394,BULWELL,EM (100.0%),
395,BURES,LE (100.0%),
396,BURGESH,GX (3.63%); SN (32.08%); TL (64.29%),GX (60.8%); SN (27.86%); TL (11.08%); ZZ (0.25%)
397,BURLYIW,NT (100.0%),NT (100.0%)
398,BURNLYB,NT (100.0%),
399,BURNLYC,NT (100.0%),
400,BURNMR,NT (100.0%),
401,BURSLDN,SN (1.92%); SW (98.08%),GW (36.36%); SW (63.64%)
402,BURTNOT,XC (100.0%),WR (0.41%); XC (92.98%); ZZ (6.61%)
403,BUSBY,SR (100.0%),SR (100.0%)
404,BUSHEY,LM (100.0%),CS (6.94%); LM (27.43%); LO (1.39%); SN (9.72%); VT (54.51%)
405,BUSHYDC,LO (100.0%),LO (100.0%)
406,BXLYHTH,SE (100.0%),SE (100.0%)
407,BXTD,SN (100.0%),
408,BYFLANH,SW (100.0%),SW (96.22%); WR (0.3%); ZZ (3.48%)
409,BYNEA,AW (100.0%),
410,CADOXTN,AW (100.0%),AW (96.3%); LS (3.7%)
411,CAERGWL,AW (100.0%),
412,CALSTCK,GW (100.0%),
413,CAMBDGE,GN (40.26%); LE (47.02%); TL (0.03%); XC (12.69%),GN (8.06%); LE (91.94%)
414,CAMBNTH,GN (64.49%); LE (35.51%),GN (10.5%); LE (8.61%); XC (80.89%)
415,CAMELON,SR (100.0%),
416,CAMHTH,LO (100.0%),LE (69.33%); LO (30.67%)
417,CANLEY,LM (100.0%),LM (2.08%); VT (62.5%); XC (35.42%)
418,CANWHRF,XR (100.0%),XR (100.0%)
419,CARBISB,GW (100.0%),
420,CARDFQS,AW (100.0%),AW (100.0%)
421,CARFIN,SR (100.0%),
422,CARK,NT (100.0%),
423,CARLILE,CS (2.82%); LS (0.3%); SR (0.45%); TP (41.98%); VT (54.46%),CS (90.48%); WR (9.52%)
424,CARMYLE,SR (100.0%),SR (36.59%); TP (28.05%); VT (30.49%); WR (4.88%)
425,CARRBDG,CS (12.38%); GR (1.98%); SR (85.64%),CS (9.16%); GR (13.19%); SR (70.33%); ZZ (7.33%)
426,CARSWS,AW (100.0%),
427,CASTLFD,NT (100.0%),TP (77.54%); WR (3.81%); XC (18.64%)
428,CATFBDG,SE (100.0%),SE (100.0%)
429,CATFORD,TL (100.0%),SE (79.07%); TL (18.6%); ZZ (2.33%)
430,CATHAYS,AW (100.0%),
431,CATTAL,NT (100.0%),
432,CAUSLND,GW (100.0%),
433,CBARPAR,GW (100.0%),
434,CBAY,AW (82.33%); VT (17.67%),AW (87.8%); LS (4.88%); VT (7.32%)
435,CBGH,SN (100.0%),SN (100.0%)
436,CBHMSDA,SW (100.0%),
437,CBORNE,GW (98.82%); XC (1.18%),GW (60.61%); XC (39.39%)
438,CBRIJN,ZZ (100.0%),SE (41.8%); TL (56.37%); ZZ (1.83%)
439,CBRK,GW (1.93%); SW (98.07%),GW (100.0%)
440,CCARY,GW (84.0%); SW (16.0%),GW (90.86%); LS (1.72%); SW (5.34%); WR (0.34%); XC (0.34%); ZZ (1.38%)
441,CCRT,SR (100.0%),SR (100.0%)
442,CDCOT,AW (85.16%); XC (14.84%),
443,CDND,SR (100.0%),
444,CDNL,SR (100.0%),
445,CDRS,SR (100.0%),
446,CEFNYBD,AW (100.0%),
447,CFFT,SR (100.0%),
448,CFLATTS,NT (100.0%),
449,CFPK,SE (2.9%); TL (97.1%),SE (79.07%); TL (18.6%); ZZ (2.33%)
450,CHADHDD,CC (100.0%),
451,CHAPLTN,GW (100.0%),
452,CHARTHM,SE (100.0%),SE (100.0%)
453,CHASNRD,NT (100.0%),
454,CHATHAM,SE (70.7%); TL (29.3%),SE (50.0%); TL (50.0%)
455,CHBURY,GW (100.0%),GW (100.0%)
456,CHCHSTR,SN (100.0%),SN (97.33%); ZZ (2.67%)
457,CHDH,NT (100.0%),AW (15.28%); NT (4.48%); VT (54.63%); WR (0.13%); XC (24.91%); ZZ (0.56%)
458,CHDNGTN,LM (100.0%),
459,CHDWLHT,XR (100.0%),CC (16.0%); LE (20.71%); XR (63.29%)
460,CHEAM,SN (100.0%),SN (100.0%)
461,CHEF,NT (100.0%),
462,CHELFD,NT (100.0%),AW (37.31%); NT (20.9%); VT (34.33%); XC (5.97%); ZZ (1.49%)
463,CHEPSTW,AW (58.92%); XC (41.08%),AW (5.29%); GW (6.86%); XC (53.73%); ZZ (34.12%)
464,CHESHNT,LE (100.0%),LE (100.0%)
465,CHETNOL,GW (100.0%),
466,CHFD,EM (64.02%); NT (22.61%); XC (13.37%),EM (42.31%); NT (0.64%); XC (54.81%); ZZ (2.24%)
467,CHFN,NT (100.0%),GR (1.46%); LS (0.21%); NT (24.63%); TP (51.44%); WR (0.18%); XC (22.07%)
468,CHIPNHM,GW (100.0%),GW (87.23%); WR (12.77%)
469,CHIRK,AW (100.0%),
470,CHISWCK,SW (100.0%),
471,CHLFNAL,CH (100.0%),CH (100.0%)
472,CHLKWEL,CC (100.0%),
473,CHLMSFD,LE (100.0%),LE (98.81%); ZZ (1.19%)
474,CHLSFLD,SE (100.0%),SE (98.55%); ZZ (1.45%)
475,CHLTNHM,AW (0.16%); GW (21.9%); LS (0.22%); XC (77.72%),AW (7.33%); GW (78.01%); WR (1.05%); XC (7.33%); ZZ (6.28%)
476,CHLWTH,GW (100.0%),GW (96.0%); WR (0.34%); ZZ (3.66%)
477,CHNLY,EM (11.14%); NT (88.86%),
478,CHNRBVH,CH (100.0%),
479,CHNRESW,CH (100.0%),
480,CHNRLOW,CH (100.0%),
481,CHNRRED,CH (100.0%),
482,CHNRWHT,CH (100.0%),
483,CHOLSEY,GW (100.0%),GW (97.14%); LS (2.86%)
484,CHORBUK,NT (100.0%),NT (12.5%); TP (87.5%)
485,CHORLEY,NT (100.0%),NT (4.14%); TP (95.1%); VT (0.75%)
486,CHOS,NT (100.0%),
487,CHPLTWN,NT (100.0%),
488,CHPWKSC,LE (100.0%),
489,CHRISTC,SW (100.0%),
490,CHRNGXG,SR (100.0%),CS (30.43%); SR (69.57%)
491,CHRSTSH,SN (100.0%),SN (100.0%)
492,CHRW,CH (100.0%),CH (100.0%)
493,CHSD,SN (100.0%),SN (100.0%)
494,CHSLHRS,SE (100.0%),SE (99.91%); ZZ (0.09%)
495,CHSRD,LM (100.0%),LM (78.95%); XC (21.05%)
496,CHSSN,SW (100.0%),
497,CHST,AW (83.98%); VT (16.02%),AW (68.75%); LS (2.08%); VT (14.58%); ZZ (14.58%)
498,CHSW,SE (100.0%),SE (100.0%)
499,CHTLRT,SR (100.0%),SR (100.0%)
500,CHTR,NT (100.0%),NT (100.0%)
501,CHTSEY,SW (100.0%),SW (69.48%); WR (2.6%); ZZ (27.92%)
502,CILMERY,AW (100.0%),
503,CIVI,TW (100.0%),
504,CKHL,SR (100.0%),
505,CLANDON,SW (100.0%),
506,CLAPTON,LO (100.0%),
507,CLARBRD,AW (100.0%),AW (100.0%)
508,CLAVRDN,CH (77.3%); LM (22.7%),CH (42.86%); LM (57.14%)
509,CLCHHYT,LE (100.0%),LE (100.0%)
510,CLCHRTN,LE (100.0%),
511,CLCHSTR,LE (100.0%),LE (93.48%); ZZ (6.52%)
512,CLDNNRB,LO (100.0%),LO (100.0%)
513,CLDRCRX,SR (100.0%),
514,CLELAND,SR (100.0%),
515,CLFDOWN,GW (100.0%),
516,CLHM,EM (100.0%),
517,CLITHRO,NT (100.0%),LS (3.45%); NT (72.41%); WR (24.14%)
518,CLMN,SE (100.0%),SE (100.0%)
519,CLOCKHS,SE (100.0%),SE (100.0%)
520,CLPHHS,LO (100.0%),LO (33.33%); SN (60.0%); ZZ (6.67%)
521,CLPHMJC,SN (100.0%),GX (65.16%); SE (2.77%); SN (30.27%); ZZ (1.81%)
522,CLPHMJM,SW (100.0%),SW (99.61%); ZZ (0.39%)
523,CLPHMJW,SW (100.0%),SW (89.45%); WR (1.44%); ZZ (9.11%)
524,CLPM,NT (100.0%),
525,CLRKSTN,SR (100.0%),SR (100.0%)
526,CLST,NT (13.33%); TP (86.67%),
527,CLTHRPS,TP (100.0%),
528,CLTN,NT (100.0%),
529,CLWALL,GW (25.12%); LM (74.88%),
530,CLYBANK,SR (100.0%),SR (100.0%)
531,CLYGATE,SW (100.0%),
532,CLYNDRW,AW (100.0%),
533,CMBH,AW (100.0%),
534,CMBLEY,SW (100.0%),SW (100.0%)
535,CMBRNLD,SR (100.0%),SR (73.68%); VT (22.11%); WR (4.21%)
536,CMBSLNG,SR (100.0%),
537,CMDNRD,LO (100.0%),LO (100.0%)
538,CMER,LE (100.0%),
539,CMTHN,AW (100.0%),
540,CNCK,LM (100.0%),
541,CNDAW,LO (100.0%),LO (100.0%)
542,CNNB,LO (100.0%),LO (100.0%)
543,CNNBELL,LO (100.0%),
544,CNST,CS (7.89%); SR (92.11%),GR (18.0%); SR (68.0%); XC (9.73%); ZZ (4.26%)
545,CNTBE,SE (100.0%),SE (89.47%); ZZ (10.53%)
546,CNTBW,SE (100.0%),SE (100.0%)
547,CNTLEY,LE (100.0%),LE (100.0%)
548,CNTY,SR (100.0%),CS (100.0%)
549,COATBDC,SR (100.0%),SR (73.68%); VT (22.11%); WR (4.21%)
550,COATBDS,SR (100.0%),CS (52.08%); SR (47.92%)
551,COATDYK,SR (100.0%),CS (100.0%)
552,CODNBCH,SN (100.0%),SN (100.0%)
553,CODSALL,AW (2.88%); LM (97.12%),AW (100.0%)
554,COGAN,AW (100.0%),
555,COKSBDG,SN (100.0%),SN (100.0%)
556,COLESHL,XC (100.0%),VT (17.92%); XC (79.25%); ZZ (2.83%)
557,COLSDNS,SN (45.33%); TL (54.67%),GX (0.8%); SN (46.4%); TL (52.8%)
558,COLSTWN,SN (100.0%),SN (100.0%)
559,COMBE,GW (100.0%),GW (100.0%)
560,COMONDL,NT (100.0%),
561,CONBRGH,NT (100.0%),
562,CONGLTN,NT (100.0%),NT (2.65%); VT (57.52%); WR (0.22%); XC (39.49%); ZZ (0.11%)
563,CONNELF,SR (100.0%),
564,CONONBR,SR (100.0%),
565,CONONLY,NT (100.0%),
566,CONWY,AW (100.0%),
567,COOKHAM,GW (100.0%),
568,COOMBE,GW (100.0%),
569,COPLSTN,GW (100.0%),
570,CORBY,EM (100.0%),EM (56.52%); ZZ (43.48%)
571,CORPACH,SR (100.0%),
572,CORROUR,CS (38.17%); SR (61.83%),
573,COSELEY,LM (100.0%),AW (26.97%); LM (12.36%); VT (35.96%); XC (24.72%)
574,COSFORD,AW (3.24%); LM (96.76%),AW (66.36%); LM (23.82%); LS (1.43%); VT (8.18%); ZZ (0.2%)
575,COSHAM,GW (15.9%); SN (37.91%); SW (46.19%),GW (36.32%); SN (4.84%); SW (49.88%); XC (7.99%); ZZ (0.97%)
576,COTNGLY,NT (6.94%); TP (93.06%),NT (3.37%); TP (95.51%); WR (1.12%)
577,COVAREN,LM (100.0%),
578,COVNTRY,LM (48.47%); VT (35.18%); XC (16.36%),LS (6.9%); VT (20.69%); WR (13.79%); XC (48.28%); ZZ (10.34%)
579,COWDEN,SN (100.0%),
580,CPNHRST,ME (100.0%),ME (100.0%)
581,CRADLYH,CH (1.51%); LM (98.49%),
582,CRAVENA,AW (100.0%),AW (99.25%); ZZ (0.75%)
583,CRAWLEY,SN (50.1%); TL (49.9%),SN (65.71%); TL (34.29%)
584,CRBG,NT (100.0%),
585,CRCK,NT (100.0%),
586,CRDFCEN,AW (86.68%); GW (13.31%); XC (0.02%),AW (54.26%); GW (30.23%); LS (1.55%); ZZ (13.95%)
587,CREDITN,GW (100.0%),
588,CRESING,LE (100.0%),
589,CREWE,AW (15.99%); CS (1.19%); LM (19.0%); LS (0.06%); NT (0.03%); VT (62.65%); XC (1.07%),AW (4.13%); CS (5.23%); VT (84.71%); XC (2.2%); ZZ (3.72%)
590,CRFD,SE (100.0%),SE (99.67%); ZZ (0.33%)
591,CRGDRN,SR (100.0%),
592,CRHL,GN (100.0%),GN (50.0%); TL (50.0%)
593,CRICCTH,AW (100.0%),
594,CRKLWD,TL (100.0%),EM (59.53%); TL (38.12%); ZZ (2.35%)
595,CRKRN,SW (100.0%),GW (69.23%); SW (30.77%)
596,CRLK,SR (100.0%),
597,CRLN,SE (72.26%); TL (27.74%),SE (91.25%); TL (6.88%); ZZ (1.88%)
598,CRMLNGT,NT (94.29%); TP (5.71%),
599,CRNF,NT (100.0%),NT (39.78%); WR (60.22%)
600,CRNG,SE (100.0%),SE (92.66%); ZZ (7.34%)
601,CRNLRCH,CS (25.77%); SR (74.23%),
602,CROKSTN,SR (100.0%),
603,CROMFD,EM (100.0%),
604,CROSSHL,SR (100.0%),
605,CROT,NT (100.0%),
606,CROUCHH,LO (100.0%),LO (100.0%)
607,CROWLE,NT (88.28%); TP (11.72%),TP (94.99%); ZZ (5.01%)
608,CROY,SR (100.0%),SR (99.5%); ZZ (0.5%)
609,CRPHLY,AW (100.0%),AW (100.0%)
610,CRPNDPK,LO (100.0%),LO (100.0%)
611,CRSHLTB,SN (100.0%),SN (81.13%); TL (18.87%)
612,CRSHLTN,SN (67.91%); TL (32.09%),SN (100.0%)
613,CRSKEYS,AW (100.0%),AW (100.0%)
614,CRSMYLF,SR (100.0%),SR (100.0%)
615,CRSNGTN,ME (100.0%),
616,CRSTRS,CS (35.48%); SR (51.61%); TP (12.9%),CS (1.91%); GR (5.05%); TP (34.32%); VT (49.76%); XC (8.96%)
617,CRTN,EM (100.0%),EM (100.0%)
618,CRTSDYK,SR (100.0%),
619,CRWHRST,SE (100.0%),SE (100.0%)
620,CRWLL,EM (100.0%),
621,CRWTHRN,GW (100.0%),GW (100.0%)
622,CRYSTLP,SN (100.0%),SE (3.86%); SN (89.43%); TL (6.1%); WR (0.61%)
623,CSEAH,LO (81.96%); SN (18.04%),LO (90.91%); ZZ (9.09%)
624,CSFD,SW (100.0%),
625,CSGT,NT (93.85%); TP (6.15%),GR (1.36%); LS (0.19%); NT (21.77%); TP (58.61%); WR (0.06%); XC (18.01%)
626,CSTL,NT (100.0%),
627,CSTR,AW (100.0%),AW (100.0%)
628,CTMSLNK,TL (100.0%),TL (100.0%)
629,CTNG,SN (100.0%),SN (100.0%)
630,CTNM,NT (100.0%),
631,CTTGHM,HT (5.19%); NT (94.81%),NT (100.0%)
632,CUDNGTN,NT (100.0%),
633,CUFFLEY,GN (100.0%),GN (28.3%); TL (71.7%)
634,CULHAM,GW (100.0%),GW (100.0%)
635,CULRAIN,SR (100.0%),SR (100.0%)
636,CUPAR,SR (100.0%),CS (8.96%); GR (26.52%); SR (39.43%); XC (17.56%); ZZ (7.53%)
637,CURRIEH,SR (100.0%),
638,CUSTMHS,XR (100.0%),XR (100.0%)
639,CWDNBTH,SR (100.0%),SR (30.43%); XC (69.57%)
640,CWMBRAN,AW (100.0%),
641,CXTN,SE (100.0%),SE (98.28%); ZZ (1.72%)
642,CYNGHRD,AW (100.0%),
643,DAISYH,NT (100.0%),NT (100.0%)
644,DALGETY,SR (100.0%),
645,DALMUIR,CS (2.04%); SR (97.96%),SR (83.33%); WR (16.67%)
646,DALRY,SR (100.0%),SR (96.54%); ZZ (3.46%)
647,DALS,LO (100.0%),LO (100.0%)
648,DALSKLD,LO (100.0%),LO (100.0%)
649,DALSTON,NT (100.0%),
650,DALTON,NT (100.0%),
651,DALWHIN,CS (27.32%); SR (72.68%),GR (15.15%); SR (77.27%); ZZ (7.58%)
652,DANBY,NT (100.0%),
653,DANESCT,AW (100.0%),
654,DANZEY,LM (100.0%),
655,DARNALL,NT (100.0%),
656,DARSHAM,LE (100.0%),
657,DARTFD,SE (59.09%); TL (40.91%),SE (99.2%); ZZ (0.8%)
658,DARWEN,NT (100.0%),
659,DATCHET,SW (100.0%),
660,DAVNPRT,NT (100.0%),EM (26.47%); NT (38.24%); TP (35.29%)
661,DAWLISH,GW (97.84%); XC (2.16%),GW (62.01%); LS (1.18%); WR (0.29%); XC (35.71%); ZZ (0.81%)
662,DAWLSHW,GW (99.64%); ZZ (0.36%),GW (73.53%); LS (0.77%); WR (0.1%); XC (25.41%); ZZ (0.19%)
663,DAWSHLM,SR (100.0%),
664,DEAL,SE (100.0%),SE (100.0%)
665,DEAN,SW (100.0%),GW (87.67%); SW (11.84%); XC (0.49%)
666,DEGANWY,AW (100.0%),
667,DEIGHTN,NT (12.97%); TP (87.03%),NT (5.17%); TP (93.1%); WR (0.86%); ZZ (0.86%)
668,DELAMER,NT (100.0%),
669,DENHAM,CH (100.0%),
670,DENHMGC,CH (100.0%),
671,DENMRKH,LO (38.9%); SE (34.92%); TL (26.18%),LO (8.89%); SE (53.51%); SN (12.32%); TL (11.23%); ZZ (14.04%)
672,DENT,NT (100.0%),
673,DEPDENE,GW (100.0%),
674,DEPTFD,SE (59.51%); TL (40.49%),SE (80.77%); TL (19.23%)
675,DERBYRD,LE (100.0%),
676,DEVNPRT,GW (100.0%),GW (100.0%)
677,DGLROAD,AW (100.0%),
678,DGNHMDC,CC (100.0%),CC (94.58%); WR (2.41%); ZZ (3.01%)
679,DIDCOTP,GW (100.0%),GW (98.6%); LS (0.47%); WR (0.56%); ZZ (0.37%)
680,DIGBY,GW (100.0%),
681,DILTONM,GW (100.0%),GW (100.0%)
682,DINASP,AW (100.0%),
683,DINASR,AW (100.0%),
684,DINGWAL,SR (100.0%),
685,DINSDAL,NT (100.0%),GC (1.79%); NT (83.93%); TP (14.29%)
686,DISLEY,NT (100.0%),
687,DISS,LE (100.0%),LE (90.32%); ZZ (9.68%)
688,DLMALLY,SR (100.0%),
689,DLMRNOK,SR (100.0%),
690,DLMY,SR (100.0%),
691,DLREOCH,SR (100.0%),CS (15.87%); SR (80.32%); WR (1.27%); ZZ (2.54%)
692,DLTN,GR (41.28%); NT (19.04%); TP (18.81%); WR (0.06%); XC (20.81%),CS (8.36%); GC (1.39%); GR (10.1%); LD (58.54%); LS (0.7%); NT (16.38%); TP (2.09%); WR (1.05%); ZZ (1.39%)
693,DLTNCGT,GR (100.0%),
694,DLTNRIM,GR (100.0%),
695,DLWYDLN,AW (100.0%),
696,DMBRTNC,CS (2.02%); SR (97.98%),SR (91.49%); WR (2.84%); ZZ (5.67%)
697,DMBRTNE,SR (100.0%),SR (100.0%)
698,DNDL,NT (100.0%),
699,DNFRMLE,SR (100.0%),SR (30.43%); XC (69.57%)
700,DNFRMQM,SR (100.0%),
701,DNLP,SR (100.0%),
702,DNROBIN,SR (100.0%),
703,DNSN,NT (100.0%),
704,DNSRSTP,GW (100.0%),
705,DNTG,NT (100.0%),NT (100.0%)
706,DNTON,NT (100.0%),
707,DOCKYDP,GW (100.0%),GW (100.0%)
708,DODWRTH,NT (100.0%),
709,DOLAU,AW (100.0%),
710,DOLEHAM,SN (100.0%),SN (100.0%)
711,DOLGARG,AW (100.0%),
712,DONC,GC (3.84%); GR (48.74%); HT (6.37%); NT (25.6%); TP (11.61%); XC (3.84%),GC (16.87%); GR (63.54%); LD (17.43%); ZZ (2.16%)
713,DORE,EM (11.16%); NT (71.75%); TP (17.08%),
714,DORIDGE,CH (66.99%); LM (33.01%),CH (75.26%); LM (11.21%); TY (1.69%); XC (11.84%)
715,DORKING,SN (100.0%),SN (100.0%)
716,DORMANS,SN (95.42%); TL (4.58%),
717,DOVERP,SE (100.0%),SE (76.56%); ZZ (23.44%)
718,DOVRCRT,LE (100.0%),
719,DOVYJN,AW (100.0%),
720,DOWNHAM,GN (96.73%); LE (3.27%),GN (17.39%); LE (82.61%)
721,DRAYGRN,GW (100.0%),CH (96.55%); LS (3.45%)
722,DRBY,EM (50.07%); XC (49.93%),EM (82.8%); NT (0.16%); ZZ (17.04%)
723,DRCHS,SW (100.0%),SW (100.0%)
724,DRCHW,GW (100.0%),GW (60.0%); LS (40.0%)
725,DRDAYSJ,LS (100.0%),GW (83.28%); WR (0.08%); XC (16.51%); ZZ (0.13%)
726,DREMJ,SR (100.0%),CS (1.09%); GR (53.39%); LD (8.42%); SR (2.9%); TP (10.86%); WR (0.09%); XC (23.26%)
727,DRHM,GR (38.41%); NT (2.66%); TP (27.4%); WR (0.19%); XC (31.15%); ZZ (0.19%),CS (2.48%); GC (0.41%); GR (54.44%); LD (20.66%); LS (0.21%); NT (18.6%); TP (2.89%); WR (0.31%)
728,DRIFILD,NT (100.0%),NT (100.0%)
729,DRIGG,NT (100.0%),
730,DRKGW,GW (100.0%),GW (96.0%); WR (0.34%); ZZ (3.65%)
731,DRMCHPL,SR (100.0%),
732,DRMFCHR,SR (100.0%),
733,DRMGLCH,SR (100.0%),
734,DRNGTOS,SN (98.74%); TL (1.26%),SN (100.0%)
735,DRONFLD,EM (15.15%); NT (84.85%),
736,DRTN,NT (100.0%),
737,DRTWCHS,LM (99.78%); LS (0.22%),LM (26.0%); XC (74.0%)
738,DRUMRY,SR (100.0%),SR (100.0%)
739,DRYP,GN (100.0%),
740,DTNG,SE (100.0%),SE (98.85%); ZZ (1.15%)
741,DUDESTN,LM (100.0%),AW (3.57%); LM (85.71%); XC (10.71%)
742,DUDLPT,LM (100.0%),AW (15.08%); LM (41.57%); VT (25.17%); WR (0.05%); XC (18.13%)
743,DUFIELD,EM (100.0%),
744,DUIRNSH,SR (100.0%),
745,DUKEST,SR (100.0%),SR (100.0%)
746,DULNGHM,LE (100.0%),LE (100.0%)
747,DUMBRCK,SR (100.0%),
748,DUMFRES,LS (2.7%); SR (97.3%),LS (7.69%); VT (92.31%)
749,DUMPTNP,SE (100.0%),SE (100.0%)
750,DUNANE,CS (15.72%); GR (1.26%); SR (83.02%),GR (5.64%); SR (94.36%)
751,DUNBAR,GR (28.23%); TP (35.71%); XC (36.05%),CS (1.54%); GR (65.08%); LD (11.94%); TP (1.93%); WR (0.13%); XC (19.38%)
752,DUNCRAG,SR (100.0%),
753,DUNDETB,CS (5.46%); GR (16.16%); SR (71.4%); XC (6.99%),SR (76.0%); ZZ (24.0%)
754,DUNKELD,CS (13.62%); GR (1.09%); SR (85.29%),GR (49.32%); SR (32.88%); ZZ (17.81%)
755,DUNS,XC (100.0%),
756,DURSLEY,GW (100.0%),GW (100.0%)
757,DVHL,NT (100.0%),
758,DWBY,NT (22.37%); TP (77.63%),NT (1.95%); TP (97.77%); WR (0.28%)
759,DYCE,SR (100.0%),SR (31.37%); ZZ (68.63%)
760,DYFRYNA,AW (100.0%),
761,EALINGB,GW (20.54%); XR (79.46%),GW (58.71%); HX (28.65%); WR (1.12%); XR (5.34%); ZZ (6.18%)
762,EARLSWD,SN (12.31%); TL (87.69%),GW (6.79%); GX (12.02%); SN (38.99%); TL (42.17%); ZZ (0.04%)
763,EASTBRK,AW (100.0%),
764,EASTHAM,LO (100.0%),
765,EBOLDON,TW (100.0%),
766,EBOURNE,SN (100.0%),
767,EBSFLTI,SE (100.0%),SE (100.0%)
768,EBWVPWY,AW (100.0%),AW (100.0%)
769,ECCLES,NT (100.0%),AW (30.29%); EM (1.17%); NT (40.88%); TP (25.06%); VT (2.13%); WR (0.33%); ZZ (0.13%)
770,ECLR,EM (21.88%); LE (78.12%),
771,ECPK,NT (100.0%),NT (100.0%)
772,ECROYDN,SN (61.98%); TL (38.02%),GX (66.16%); SE (4.29%); SN (19.7%); TL (7.86%); WR (0.15%); ZZ (1.84%)
773,EDALE,EM (6.06%); NT (93.94%),EM (44.14%); NT (5.98%); TP (49.87%)
774,EDGH,NT (100.0%),AW (13.24%); EM (9.09%); LM (12.1%); NT (33.87%); TP (17.07%); VT (14.64%)
775,EDIDBRY,AW (31.03%); NT (68.97%),AW (8.5%); NT (43.14%); TP (48.37%)
776,EDINBUR,CS (2.82%); GR (55.76%); SR (12.24%); TP (3.53%); VT (0.24%); XC (25.41%),SR (100.0%)
777,EDINGWY,SR (100.0%),
778,EDINPRK,SR (100.0%),
779,EDMNGRN,LE (3.62%); LO (96.38%),
780,EDNB,SN (100.0%),SE (100.0%)
781,EDNT,SN (100.0%),SN (100.0%)
782,EDPK,SE (100.0%),
783,EDULWCH,SN (100.0%),SN (100.0%)
784,EFARLGH,SE (100.0%),SE (93.75%); ZZ (6.25%)
785,EFNGHMJ,SW (100.0%),SW (100.0%)
786,EGGESFD,GW (100.0%),
787,EGHAM,SW (100.0%),
788,EGLSCLF,GC (16.25%); NT (83.75%),GC (0.26%); GR (3.7%); NT (14.55%); TP (81.48%)
789,EGRFRTH,NT (100.0%),NT (0.98%); TP (85.29%); WR (0.98%); XC (12.75%)
790,EGTON,NT (100.0%),
791,ELGH,GW (1.38%); SN (1.38%); SW (97.24%),SW (74.44%); XC (24.57%); ZZ (0.99%)
792,ELGIN,SR (100.0%),ZZ (100.0%)
793,ELMERSE,SE (100.0%),SE (100.0%)
794,ELMSWEL,LE (100.0%),
795,ELMW,SE (100.0%),SE (100.0%)
796,ELPHNAC,SE (2.84%); TL (97.16%),SE (16.59%); TL (83.41%)
797,ELSC,NT (100.0%),
798,ELSENHM,LE (100.0%),
799,ELSN,XC (100.0%),
800,ELTHAM,SE (100.0%),SE (100.0%)
801,ELTON,EM (100.0%),
