,TIPLOC,TOC_New
158,BCKNHMJ,SE (100.0%)
159,BCKWATR,GW (100.0%)
160,BCKY,AW (100.0%)
161,BCNGNOS,SE (100.0%)
162,BCNSFLD,CH (100.0%)
163,BCSTN,CH (100.0%)
164,BCSTRTN,CH (100.0%)
165,BCWD,LM (100.0%)
166,BDHMNRD,SN (100.0%)
167,BDHMPTN,SN (39.37%); SW (60.63%)
168,BDMNSTR,GW (100.0%)
169,BDSTON,AW (0.05%); ME (99.95%)
170,BEARLEY,CH (71.09%); LM (28.91%)
171,BEASDAL,SR (100.0%)
172,BEAULY,SR (100.0%)
173,BEBNGTN,ME (100.0%)
174,BECCLES,LE (100.0%)
175,BEDFDM,EM (98.95%); TL (1.05%)
176,BEDWRTH,LM (100.0%)
177,BEDYN,GW (100.0%)
178,BEKSBRN,SE (100.0%)
179,BELM,SN (100.0%)
180,BELNGHM,SE (2.9%); TL (97.1%)
181,BELPER,EM (100.0%)
182,BELVEDR,SE (100.0%)
183,BEMPTON,NT (100.0%)
184,BENFLET,CC (100.0%)
185,BEREALS,GW (100.0%)
186,BEREFRS,GW (100.0%)
187,BERKHMD,LM (100.0%)
188,BERMPRK,LM (100.0%)
189,BERRYB,NT (100.0%)
190,BERWICK,SN (100.0%)
191,BESCRLA,NT (100.0%)
192,BESJOHN,LM (100.0%)
193,BESTON,EM (72.77%); XC (27.23%)
194,BETSYCD,AW (98.28%); LS (1.72%)
195,BEVERLY,HT (0.08%); NT (99.92%)
196,BEXHILL,SN (100.0%)
197,BEXLEY,SE (100.0%)
198,BGLAN,AW (100.0%)
199,BGOALAN,SR (100.0%)
200,BGRN,LM (100.0%)
201,BHAMINT,AW (0.35%); LM (41.97%); VT (39.3%); WR (0.12%); XC (18.27%)
202,BHAMJEW,CH (1.52%); LM (98.48%)
203,BHAMMRS,CH (19.43%); LM (79.6%); TY (0.97%)
204,BHAMNWS,AW (9.82%); LM (49.0%); VT (13.3%); XC (27.88%)
205,BHAMSNH,CH (4.86%); LM (95.14%)
206,BHILLPK,LO (100.0%)
207,BICKLEY,SE (45.25%); TL (54.75%)
208,BIGLSWD,GN (7.96%); TL (92.04%)
209,BILBROK,AW (3.24%); LM (96.76%)
210,BILERCY,LE (100.0%)
211,BILSHST,SN (100.0%)
212,BINGHAM,EM (100.0%)
213,BIRCHWD,EM (3.62%); NT (96.38%)
214,BIRKBCK,SN (100.0%)
215,BISHPTN,SR (100.0%)
216,BISLND,SR (100.0%)
217,BITERNE,SN (1.92%); SW (98.08%)
218,BKDLE,ME (100.0%)
219,BKHLS,NT (100.0%)
220,BKNELL,AW (100.0%)
221,BKNHRST,SW (95.74%); XC (4.26%)
222,BKSWELL,LM (100.0%)
223,BLAENAU,AW (100.0%)
224,BLAIRHL,SR (100.0%)
225,BLAKEDN,CH (1.16%); LM (98.84%)
226,BLANTYR,SR (100.0%)
227,BLARATH,CS (26.18%); GR (2.09%); SR (71.73%)
228,BLAYDON,NT (100.0%)
229,BLCHSRD,LO (100.0%)
230,BLCKPB,NT (100.0%)
231,BLCKPLN,NT (100.0%)
232,BLEASBY,EM (100.0%)
233,BLFR,TL (100.0%)
234,BLGRVE,SR (100.0%)
235,BLIEURD,SW (100.0%)
236,BLKB,NT (100.0%)
237,BLKHTH,SE (100.0%)
238,BLKRDGE,SR (100.0%)
239,BLKST,LM (100.0%)
240,BLLVUE,NT (100.0%)
241,BLNDLAC,ME (100.0%)
242,BLNGHM,NT (100.0%)
243,BLOXN,LM (100.0%)
244,BLOXWCH,LM (100.0%)
245,BLRD,NT (100.0%)
246,BLSHL,SR (100.0%)
247,BLTCHLY,LM (100.0%)
248,BLTNODR,NT (100.0%)
249,BLTRNAB,SE (100.0%)
250,BLYBDGE,EM (100.0%)
251,BMBRBDG,NT (100.0%)
252,BMHL,NT (100.0%)
253,BMLY,GW (100.0%)
254,BNBR,CH (63.83%); XC (36.17%)
255,BNDON,EM (3.54%); LE (96.46%)
256,BNGY,NT (100.0%)
257,BNHAM,GW (5.32%); XR (94.68%)
258,BNHL,SR (100.0%)
259,BNKHALL,ME (100.0%)
260,BNRHYDN,NT (100.0%)
261,BNSBDGE,SW (100.0%)
262,BNSD,NT (100.0%)
263,BNSLY,NT (100.0%)
264,BNTBY,EM (36.75%); TP (63.25%)
265,BNTEY,SW (100.0%)
266,BNTFORD,SW (100.0%)
267,BNTHAM,NT (100.0%)
268,BNWK,ME (100.0%)
269,BODMNPW,GW (95.03%); XC (4.97%)
270,BODORGN,AW (100.0%)
271,BOGSTON,SR (100.0%)
272,BOLTON,NT (93.95%); TP (6.05%)
273,BOMO,SW (100.0%)
274,BOOKHAM,SW (100.0%)
275,BOORCHY,CS (38.17%); SR (61.83%)
276,BOOTLE,NT (100.0%)
277,BOOTLNS,ME (100.0%)
278,BOOTLOR,ME (100.0%)
279,BORNEND,GW (100.0%)
280,BORTH,AW (100.0%)
281,BORWGAW,SE (100.0%)
282,BOSHAM,SN (100.0%)
283,BOSTON,EM (100.0%)
284,BOTESFD,EM (100.0%)
285,BOTLEY,GW (1.77%); SW (98.23%)
286,BOURNVL,LM (100.0%)
287,BOWBRKH,LM (100.0%)
288,BOWESPK,GN (100.0%)
289,BOWLING,SR (100.0%)
290,BOWSTRT,AW (100.0%)
291,BOXHAWH,SN (50.45%); SW (49.55%)
292,BOXHBUS,SN (100.0%)
293,BRACKNL,SW (100.0%)
294,BRADIN,NT (100.0%)
295,BRAINFP,LE (100.0%)
296,BRAMPTN,LE (100.0%)
297,BRANKSM,SW (100.0%)
298,BRBM,NT (100.0%)
299,BRBY,LO (100.0%)
300,BRBYPK,LO (100.0%)
301,BRDFDOA,GW (99.45%); LS (0.55%)
302,BRDGWTR,GW (100.0%)
303,BRDING,IL (100.0%)
304,BRDLNGT,NT (100.0%)
305,BRDNML,NT (100.0%)
306,BRDS,LM (100.0%)
307,BREDBRY,NT (100.0%)
308,BREICH,SR (100.0%)
309,BRFRY,SR (100.0%)
310,BRFT,NT (100.0%)
311,BRGDDIE,SR (100.0%)
312,BRGEND,AW (62.99%); GW (37.01%)
313,BRGHBUS,SN (100.0%)
314,BRGHLRD,SN (100.0%)
315,BRGHTN,SN (77.42%); TL (22.58%)
316,BRGLCAR,SJ (100.0%)
317,BRGLVAL,SJ (100.0%)
318,BRHD,SR (100.0%)
319,BRHM,SN (100.0%)
320,BRHOUSE,GC (15.24%); NT (84.0%); TP (0.76%)
321,BRIDGTN,SR (100.0%)
322,BRIERFL,NT (100.0%)
323,BRIMSDN,LE (100.0%)
324,BRITFRY,AW (100.0%)
325,BRITHDR,AW (100.0%)
326,BRIXTON,SE (100.0%)
327,BRKMNPK,GN (100.0%)
328,BRKNCPK,ME (100.0%)
329,BRKNHDC,ME (100.0%)
330,BRKNHDN,ME (100.0%)
331,BRKNHDP,ME (100.0%)
332,BRKWOOD,SW (100.0%)
333,BRLANDS,SW (100.0%)
334,BRLEYPK,NT (100.0%)
335,BRMB,ME (100.0%)
336,BRMBRK,ME (100.0%)
337,BRMCRSS,NT (100.0%)
338,BRMLYSR,NT (100.0%)
339,BRMOUTH,AW (100.0%)
340,BRMPTNC,NT (100.0%)
341,BRMSGRV,LM (100.0%)
342,BRNCHTN,SR (100.0%)
343,BRNGTN,NT (100.0%)
344,BRNHRST,SE (100.0%)
345,BRNMONC,LE (100.0%)
346,BRNYARM,LE (100.0%)
347,BROADFO,SR (100.0%)
348,BROADGR,NT (100.0%)
349,BROCKLY,LO (78.93%); SN (21.07%)
350,BROMLYS,SE (72.76%); TL (27.24%)
351,BROOME,AW (100.0%)
352,BRORA,SR (100.0%)
353,BROUGH,GR (1.63%); HT (8.79%); NT (69.23%); TP (20.35%)
354,BROXBRN,LE (100.0%)
355,BRRHL,SR (100.0%)
356,BRRYLNK,SR (100.0%)
357,BRSCGHB,NT (100.0%)
358,BRSCGHJ,NT (100.0%)
359,BRSDE,SR (100.0%)
360,BRSR,SE (99.36%); ZZ (0.64%)
361,BRSTLTM,GW (84.29%); WR (0.06%); XC (15.65%)
362,BRSTPWY,GW (68.07%); XC (31.93%)
363,BRTJYC,EM (100.0%)
364,BRTWOOD,XR (100.0%)
365,BRUCGRV,LO (100.0%)
366,BRUNDAL,LE (100.0%)
367,BRUNDLG,LE (100.0%)
368,BRUSTAN,SR (100.0%)
369,BRUTON,GW (69.68%); SW (30.32%)
370,BRWCKUT,GR (53.12%); TP (15.28%); XC (31.6%)
371,BRWHINS,TW (100.0%)
372,BRYN,NT (100.0%)
373,BRYSTNS,NT (100.0%)
374,BSCTSTA,LM (100.0%)
375,BSDN,SR (100.0%)
376,BSHB,SR (100.0%)
377,BSHPSFD,LE (100.0%)
378,BSNGSTK,SW (87.17%); XC (12.83%)
379,BSPSBUS,GW (100.0%)
380,BSSN,SN (100.0%)
381,BSTD,SE (100.0%)
382,BSTEDMS,LE (100.0%)
383,BSTWDPJ,EM (100.0%)
384,BTCHWTH,GW (100.0%)
385,BTHGATE,SR (100.0%)
386,BTHNLGR,LO (100.0%)
387,BTLRSLA,LM (100.0%)
388,BTLSBDG,LE (100.0%)
389,BTLYSY,NT (100.0%)
390,BTRSBY,NT (100.0%)
391,BUCKNHM,LE (100.0%)
392,BUGLE,GW (100.0%)
393,BUILTHR,AW (100.0%)
394,BULWELL,EM (100.0%)
395,BURES,LE (100.0%)
396,BURGESH,GX (3.63%); SN (32.08%); TL (64.29%)
397,BURLYIW,NT (100.0%)
398,BURNLYB,NT (100.0%)
399,BURNLYC,NT (100.0%)
400,BURNMR,NT (100.0%)
401,BURSLDN,SN (1.92%); SW (98.08%)
402,BURTNOT,XC (100.0%)
403,BUSBY,SR (100.0%)
404,BUSHEY,LM (100.0%)
405,BUSHYDC,LO (100.0%)
406,BXLYHTH,SE (100.0%)
407,BXTD,SN (100.0%)
408,BYFLANH,SW (100.0%)
409,BYNEA,AW (100.0%)
410,CADOXTN,AW (100.0%)
411,CAERGWL,AW (100.0%)
412,CALSTCK,GW (100.0%)
413,CAMBDGE,GN (40.26%); LE (47.02%); TL (0.03%); XC (12.69%)
414,CAMBNTH,GN (64.49%); LE (35.51%)
