,TIPLOC,TOC_New
707,DOCKYDP,GW (100.0%)
708,DODWRTH,NT (100.0%)
709,DOLAU,AW (100.0%)
710,DOLEHAM,SN (100.0%)
711,DOLGARG,AW (100.0%)
712,DONC,GC (3.84%); GR (48.74%); HT (6.37%); NT (25.6%); TP (11.61%); XC (3.84%)
713,DORE,EM (11.16%); NT (71.75%); TP (17.08%)
714,DORIDGE,CH (66.99%); LM (33.01%)
715,DORKING,SN (100.0%)
716,DORMANS,SN (95.42%); TL (4.58%)
717,DOVERP,SE (100.0%)
718,DOVRCRT,LE (100.0%)
719,DOVYJN,AW (100.0%)
720,DOWNHAM,GN (96.73%); LE (3.27%)
721,DRAYGRN,GW (100.0%)
722,DRBY,EM (50.07%); XC (49.93%)
723,DRCHS,SW (100.0%)
724,DRCHW,GW (100.0%)
725,DRDAYSJ,LS (100.0%)
726,DREMJ,SR (100.0%)
727,DRHM,GR (38.41%); NT (2.66%); TP (27.4%); WR (0.19%); XC (31.15%); ZZ (0.19%)
728,DRIFILD,NT (100.0%)
729,DRIGG,NT (100.0%)
730,DRKGW,GW (100.0%)
731,DRMCHPL,SR (100.0%)
732,DRMFCHR,SR (100.0%)
733,DRMGLCH,SR (100.0%)
734,DRNGTOS,SN (98.74%); TL (1.26%)
735,DRONFLD,EM (15.15%); NT (84.85%)
736,DRTN,NT (100.0%)
737,DRTWCHS,LM (99.78%); LS (0.22%)
738,DRUMRY,SR (100.0%)
739,DRYP,GN (100.0%)
740,DTNG,SE (100.0%)
741,DUDESTN,LM (100.0%)
742,DUDLPT,LM (100.0%)
743,DUFIELD,EM (100.0%)
744,DUIRNSH,SR (100.0%)
745,DUKEST,SR (100.0%)
746,DULNGHM,LE (100.0%)
747,DUMBRCK,SR (100.0%)
748,DUMFRES,LS (2.7%); SR (97.3%)
749,DUMPTNP,SE (100.0%)
750,DUNANE,CS (15.72%); GR (1.26%); SR (83.02%)
751,DUNBAR,GR (28.23%); TP (35.71%); XC (36.05%)
752,DUNCRAG,SR (100.0%)
753,DUNDETB,CS (5.46%); GR (16.16%); SR (71.4%); XC (6.99%)
754,DUNKELD,CS (13.62%); GR (1.09%); SR (85.29%)
755,DUNS,XC (100.0%)
756,DURSLEY,GW (100.0%)
757,DVHL,NT (100.0%)
758,DWBY,NT (22.37%); TP (77.63%)
759,DYCE,SR (100.0%)
760,DYFRYNA,AW (100.0%)
761,EALINGB,GW (20.54%); XR (79.46%)
762,EARLSWD,SN (12.31%); TL (87.69%)
763,EASTBRK,AW (100.0%)
764,EASTHAM,LO (100.0%)
765,EBOLDON,TW (100.0%)
766,EBOURNE,SN (100.0%)
767,EBSFLTI,SE (100.0%)
768,EBWVPWY,AW (100.0%)
769,ECCLES,NT (100.0%)
770,ECLR,EM (21.88%); LE (78.12%)
771,ECPK,NT (100.0%)
772,ECROYDN,SN (61.98%); TL (38.02%)
773,EDALE,EM (6.06%); NT (93.94%)
774,EDGH,NT (100.0%)
775,EDIDBRY,AW (31.03%); NT (68.97%)
776,EDINBUR,CS (2.82%); GR (55.76%); SR (12.24%); TP (3.53%); VT (0.24%); XC (25.41%)
777,EDINGWY,SR (100.0%)
778,EDINPRK,SR (100.0%)
779,EDMNGRN,LE (3.62%); LO (96.38%)
780,EDNB,SN (100.0%)
781,EDNT,SN (100.0%)
782,EDPK,SE (100.0%)
783,EDULWCH,SN (100.0%)
784,EFARLGH,SE (100.0%)
785,EFNGHMJ,SW (100.0%)
786,EGGESFD,GW (100.0%)
787,EGHAM,SW (100.0%)
788,EGLSCLF,GC (16.25%); NT (83.75%)
789,EGRFRTH,NT (100.0%)
790,EGTON,NT (100.0%)
791,ELGH,GW (1.38%); SN (1.38%); SW (97.24%)
792,ELGIN,SR (100.0%)
793,ELMERSE,SE (100.0%)
794,ELMSWEL,LE (100.0%)
795,ELMW,SE (100.0%)
796,ELPHNAC,SE (2.84%); TL (97.16%)
797,ELSC,NT (100.0%)
798,ELSENHM,LE (100.0%)
799,ELSN,XC (100.0%)
800,ELTHAM,SE (100.0%)
801,ELTON,EM (100.0%)
802,ELTR,TL (100.0%)
803,ELWD,LM (100.0%)
804,ELYY,EM (17.8%); GN (28.34%); LE (33.61%); XC (20.26%)
805,EMALING,SE (100.0%)
806,EMPKWAY,EM (100.0%)
807,EMSWTH,SN (100.0%)
808,ENFC,GN (100.0%)
809,ENFLDLK,LE (100.0%)
810,ENTWISL,NT (100.0%)
811,EPSM,SN (48.61%); SW (51.39%)
812,ERDNGTN,LM (100.0%)
813,ERGNCHP,AW (100.0%)
814,ERIDBUS,SN (100.0%)
815,ERIDGE,SN (100.0%)
816,ERITH,SE (100.0%)
817,ERLFLD,SW (100.0%)
818,ERLSTWN,AW (32.52%); NT (67.48%)
819,ERLY,SW (100.0%)
820,ESHER,SW (100.0%)
821,ESHS,SR (100.0%)
822,ESKBANK,SR (100.0%)
823,ESSEXRD,GN (100.0%)
824,ESTFLDS,SN (55.15%); TL (44.85%)
825,ESTHRAK,ME (100.0%)
826,ESTRNGT,NT (100.0%)
827,ETCHNGM,SE (100.0%)
828,ETILBRY,CC (100.0%)
829,EUSTON,VT (100.0%)
830,EUXT,NT (100.0%)
831,EVESHAM,GW (100.0%)
832,EWELLE,SN (100.0%)
833,EWELW,SW (100.0%)
834,EWRTHNG,SN (100.0%)
835,EXETERC,GW (65.61%); SW (34.39%)
836,EXETRSD,GW (86.22%); XC (13.58%); ZZ (0.21%)
837,EXETRST,GW (100.0%)
838,EXHIBTC,SR (99.88%); WR (0.12%)
839,EXTON,GW (100.0%)
840,EYNSFD,TL (100.0%)
841,FAIRLIE,SR (100.0%)
842,FALCNWD,SE (100.0%)
843,FALKRKG,CS (3.13%); GR (8.51%); SR (88.36%)
844,FALKRKH,SR (100.0%)
845,FALMTHT,GW (100.0%)
846,FAMBDGE,LE (100.0%)
847,FAMR,SN (100.0%)
848,FAREHAM,GW (19.2%); SN (38.27%); SW (42.54%)
849,FARNHAM,SW (100.0%)
850,FAULDHS,SR (100.0%)
851,FAVRSHM,SE (100.0%)
852,FAYGATE,SN (4.55%); TL (95.45%)
853,FAZKRLY,ME (100.0%)
854,FEARN,SR (100.0%)
855,FELL,TW (100.0%)
856,FELTHAM,SW (100.0%)
857,FENCHRS,CC (100.0%)
858,FENITON,GW (2.9%); SW (97.1%)
859,FERNHIL,AW (100.0%)
860,FERRIBY,NT (100.0%)
861,FFAIRFC,AW (100.0%)
862,FGDHGWK,AW (100.0%)
863,FILEY,NT (100.0%)
864,FILTNEW,GW (100.0%)
865,FINSTCK,GW (100.0%)
866,FISKRTN,EM (100.0%)
867,FITZWLM,NT (100.0%)
868,FIVEWYS,LM (100.0%)
869,FLEET,SW (100.0%)
870,FLIMBY,NT (100.0%)
871,FLINT,AW (87.49%); VT (12.51%)
872,FLITWCK,TL (100.0%)
873,FLIXTON,NT (100.0%)
874,FLKSTNC,SE (100.0%)
875,FLKSTNW,SE (100.0%)
876,FLSCRHN,SR (100.0%)
877,FLWRYFD,NT (100.0%)
878,FNCHLYR,LO (100.0%)
879,FNPK,GN (45.38%); LO (4.57%); TL (50.05%)
880,FORD,SN (100.0%)
881,FORESTH,LO (78.93%); SN (21.07%)
882,FORMBY,ME (100.0%)
883,FORRES,SR (100.0%)
884,FORSNRD,SR (100.0%)
885,FOUROKS,LM (100.0%)
886,FOXFILD,NT (100.0%)
887,FOXTON,GN (6.19%); TL (93.81%)
888,FRANT,SE (100.0%)
889,FRATGSA,SN (100.0%)
890,FRATTON,GW (11.33%); SN (31.0%); SW (57.67%)
891,FRBN,AW (100.0%)
892,FRBRMN,SW (100.0%)
893,FRBRNTH,GW (100.0%)
894,FRDSHM,AW (85.87%); NT (14.13%)
895,FRESHFD,GW (100.0%)
896,FRFD,NT (100.0%)
897,FRIMLEY,SW (100.0%)
898,FRINTON,LE (100.0%)
899,FRNCMB,SW (100.0%)
900,FRNDNLT,TL (100.0%)
901,FRNDXR,XR (100.0%)
902,FRNNGRD,SE (100.0%)
903,FRNW,NT (100.0%)
904,FROME,GW (69.92%); LS (1.69%); SW (28.39%)
905,FRSHFLD,ME (100.0%)
906,FRSTGT,XR (100.0%)
907,FRTMTLD,SR (100.0%)
908,FRTWLM,SR (100.0%)
909,FRWATER,AW (100.0%)
910,FRZNGHL,NT (100.0%)
911,FSHBBUS,SN (100.0%)
912,FSHBORN,SN (100.0%)
913,FSHRSGT,SN (100.0%)
914,FSTR,LM (100.0%)
915,FTHRSTN,NT (100.0%)
916,FULWELL,SW (100.0%)
917,FURNESV,NT (100.0%)
918,FURZEP,GW (100.0%)
919,FYSD,AW (91.6%); GW (8.4%)
920,GALASLS,SR (100.0%)
921,GALTILL,AW (24.89%); LM (75.11%)
922,GALTINT,CH (2.97%); LM (97.03%)
923,GARFRTH,NT (85.45%); TP (14.55%)
924,GARROWH,SR (100.0%)
925,GARSDLE,NT (100.0%)
926,GARTH,AW (100.0%)
927,GARVE,SR (100.0%)
928,GARW,NT (100.0%)
929,GATHRST,NT (100.0%)
930,GATLEY,NT (65.92%); TP (34.08%)
931,GBGHLRD,EM (20.1%); NT (79.9%)
932,GBNK,NT (100.0%)
933,GDLMING,SW (100.0%)
934,GERRDSX,CH (100.0%)
935,GFLD,TP (100.0%)
936,GGLSWCK,NT (100.0%)
937,GIDB,NT (100.0%)
938,GIDEAPK,XR (100.0%)
939,GIFNOCK,SR (100.0%)
940,GIPSYH,SN (100.0%)
941,GIRVAN,SR (100.0%)
942,GLAISDL,NT (100.0%)
943,GLASHTN,NT (100.0%)
944,GLAZBRK,NT (100.0%)
945,GLBRDYK,NT (98.51%); TP (1.49%)
946,GLDTHRP,NT (100.0%)
947,GLFCHFR,AW (100.0%)
948,GLGC,TP (100.0%)
949,GLGCLL,SR (100.0%)
950,GLGHST,SR (100.0%)
951,GLGN,SR (100.0%)
952,GLGQHL,SR (100.0%)
953,GLGQLL,CS (1.59%); SR (98.41%)
954,GLHM,SW (100.0%)
955,GLNCNWY,AW (100.0%)
956,GLNEGLS,CS (10.12%); GR (8.1%); SR (81.78%)
957,GLNFNNN,SR (100.0%)
958,GLNGHMK,SE (65.53%); TL (34.47%)
959,GLNRTHS,SR (100.0%)
960,GLOSTER,AW (18.15%); GW (50.74%); XC (31.11%)
961,GLSP,NT (100.0%)
962,GLYNDE,SN (100.0%)
963,GNHT,SE (60.53%); TL (39.47%)
964,GNLN,ME (100.0%)
965,GNRSBRY,LO (35.91%); LT (64.09%)
966,GNTN,AW (100.0%)
967,GNWH,SE (59.51%); TL (40.49%)
968,GOBOWEN,AW (100.0%)
969,GODLY,NT (100.0%)
970,GODMAYS,XR (100.0%)
971,GODSTON,SN (100.0%)
972,GOLFSTR,SR (100.0%)
973,GOLSPIE,SR (100.0%)
974,GOMSHAL,GW (100.0%)
975,GOOLE,NT (100.0%)
976,GOOSTRY,NT (100.0%)
977,GORASTR,GW (100.0%)
978,GORDONH,GN (100.0%)
979,GOREBRG,SR (100.0%)
980,GORNGBS,SN (98.74%); TL (1.26%)
981,GORTON,NT (100.0%)
982,GOSPLOK,LO (100.0%)
983,GOVS,NT (100.0%)
984,GOWERTN,AW (100.0%)
985,GOXHILL,EM (100.0%)
986,GRATELY,SW (100.0%)
987,GRAVLYH,LM (100.0%)
988,GRAYS,CC (100.0%)
989,GREENRD,NT (100.0%)
990,GRENCKC,SR (100.0%)
991,GRENCKW,SR (100.0%)
992,GRETGRN,LS (0.93%); SR (99.07%)
993,GRGMASJ,SR (100.0%)
994,GRGRAVE,NT (100.0%)
995,GRLCHHD,CS (25.77%); SR (74.23%)
996,GRMSBYD,EM (100.0%)
997,GRMSBYT,EM (42.08%); TP (57.92%)
998,GRNDLFD,EM (5.23%); NT (94.77%)
999,GRNFLDS,SR (100.0%)
1000,GROSMNT,NT (100.0%)
1001,GROSNYM,NY (100.0%)
1002,GRPK,GN (100.0%)
1003,GRSTH,LM (100.0%)
1004,GRTCSH,SR (100.0%)
1005,GRTHMG,AW (100.0%)
1006,GRVPK,SE (100.0%)
1007,GRVSEND,SE (48.03%); TL (51.97%)
1008,GSCD,SR (100.0%)
1009,GTAYTON,NT (100.0%)
1010,GTBNTLY,LE (100.0%)
1011,GTCHSFD,LE (100.0%)
1012,GTCOATS,EM (100.0%)
1013,GTHLAND,NY (100.0%)
1014,GTHM,EM (40.66%); GR (49.11%); HT (10.23%)
1015,GTMLVRN,GW (25.12%); LM (74.88%)
1016,GTMSNDN,CH (100.0%)
1017,GTSHDMC,NT (100.0%)
1018,GTWK,GW (0.01%); GX (1.95%); SN (43.48%); TL (54.56%)
1019,GUILDFD,GW (39.49%); SW (60.39%); WR (0.12%)
1020,GUISELY,NT (100.0%)
1021,GUNTON,LE (100.0%)
1022,GWRSYLT,AW (100.0%)
1023,GYPSYLA,NT (100.0%)
1024,HABRO,EM (53.9%); TP (46.1%)
1025,HACKNYC,LO (100.0%)
1026,HACKNYW,LO (100.0%)
1027,HADFILD,NT (100.0%)
1028,HADISCO,LE (100.0%)
1029,HADLYWD,GN (99.69%); TL (0.31%)
1030,HADMATP,CH (100.0%)
1031,HAGFOLD,NT (100.0%)
1032,HAGGERS,LO (100.0%)
1033,HAGLEY,CH (0.85%); LM (99.15%)
1034,HAGT,NT (100.0%)
1035,HAKNYNM,LE (19.79%); LO (80.21%)
1036,HALE,NT (100.0%)
1037,HALG,SE (100.0%)
1038,HALLRD,ME (100.0%)
1039,HALSWTH,LE (100.0%)
1040,HALW,NT (100.0%)
1041,HAMERTN,NT (100.0%)
1042,HAMLTNC,SR (100.0%)
1043,HAMLTNW,SR (100.0%)
1044,HAMPTON,SW (100.0%)
1045,HAMSTED,LM (100.0%)
1046,HAMTSQ,ME (100.0%)
1047,HAMWICK,SW (100.0%)
1048,HANDBRO,GW (100.0%)
1049,HANWELL,XR (100.0%)
1050,HAPTON,NT (100.0%)
1051,HARLSDN,LO (30.65%); LT (69.35%)
1052,HARMYRS,SR (100.0%)
1053,HAROOTH,CH (100.0%)
1054,HARTFD,LM (100.0%)
1055,HASLEMR,SW (100.0%)
1056,HASOCKS,GX (4.89%); SN (40.54%); TL (54.57%)
1057,HASTING,SE (0.88%); SN (99.12%)
1058,HATFILD,GN (52.57%); TL (47.43%)
1059,HATHRSG,EM (5.11%); NT (94.89%)
1060,HATRSLY,NT (100.0%)
1061,HATTON,CH (86.98%); LM (13.02%)
1062,HAVANT,SN (62.77%); SW (37.23%)
1063,HAVENHS,EM (100.0%)
1064,HAVRFDW,AW (100.0%)
1065,HAWARDN,AW (100.0%)
1066,HAWDNBG,AW (100.0%)
1067,HAYESAH,GW (20.45%); XR (79.55%)
1068,HAYLE,GW (98.5%); XC (1.5%)
1069,HAYMRKT,GR (3.57%); SR (87.38%); TP (3.73%); VT (3.31%); XC (2.01%)
1070,HAZL,EM (2.09%); NT (97.91%)
1071,HBDNBDG,NT (100.0%)
1072,HBRN,SE (100.0%)
1073,HBROOMS,SE (100.0%)
1074,HBRTBDG,EM (100.0%)
1075,HBRY,LM (100.0%)
1076,HCHP,NT (100.0%)
1077,HCKNGTN,EM (100.0%)
1078,HDNS,LM (100.0%)
1079,HDON,TL (100.0%)
1080,HDRSFLD,TP (100.0%)
1081,HEADCRN,SE (100.0%)
1082,HEALING,EM (100.0%)
1083,HEATHHL,AW (100.0%)
1084,HEATHLL,AW (100.0%)
1085,HEDGEND,GW (1.77%); SW (98.23%)
1086,HEDNGLY,NT (100.0%)
1087,HEDSTNL,LO (100.0%)
1088,HELIFLD,NT (100.0%)
1089,HELMSDL,SR (100.0%)
1090,HELSBY,AW (87.01%); NT (12.99%)
1091,HEMLHMP,LM (100.0%)
1092,HEMSWTH,NT (100.0%)
1093,HENGOED,AW (100.0%)
1094,HENLYIA,LM (97.27%); TY (2.73%)
1095,HENSALL,NT (100.0%)
1096,HEREFRD,AW (100.0%)
1097,HERNEH,SE (47.02%); TL (52.98%)
1098,HERSHAM,SW (100.0%)
1099,HERTFDE,LE (100.0%)
1100,HESSLE,NT (100.0%)
1101,HESWALL,AW (100.0%)
1102,HEVER,SN (100.0%)
1103,HEWOMTR,TW (100.0%)
1104,HEWORTH,NT (100.0%)
1105,HEXHAM,NT (100.0%)
1106,HEYFORD,CH (3.41%); GW (96.59%)
1107,HFDN,GN (100.0%)
1108,HFLPEVL,LE (100.0%)
1109,HGHBRDG,GW (100.0%)
1110,HGHI,GN (100.0%)
1111,HGHMSPK,LO (100.0%)
1112,HGHNGTN,NT (100.0%)
1113,HIGHBYA,LO (100.0%)
1114,HIGM,SE (8.83%); TL (91.17%)
1115,HILLSID,ME (100.0%)
1116,HILSEA,SN (22.61%); SW (77.39%)
1117,HINCKLY,XC (100.0%)
1118,HINDLEY,NT (100.0%)
1119,HINTONA,SW (100.0%)
1120,HITCHIN,GN (3.37%); TL (96.63%)
1121,HITN,ME (100.0%)
1122,HITW,NT (100.0%)
1123,HKBG,SN (55.15%); TL (44.85%)
1124,HLDG,NT (100.0%)
1125,HLDNBRO,SE (100.0%)
1126,HLFT,SR (100.0%)
1127,HLFX,GC (6.24%); NT (93.76%)
1128,HLGN,LM (100.0%)
1129,HLMW,SN (100.0%)
1130,HLNGTNE,SR (100.0%)
1131,HLNGTNW,SR (100.0%)
1132,HLNSBRC,SR (100.0%)
1133,HLNSBRU,CS (25.77%); SR (74.23%)
1134,HLTWHST,NT (100.0%)
1135,HLYH,AW (100.0%)
1136,HMBLE,SN (1.92%); SW (98.08%)
1137,HMPDNPK,SN (100.0%)
1138,HMPHRYP,NT (100.0%)
1139,HMPSTDH,LO (100.0%)
1140,HMPTNIA,LM (100.0%)
1141,HMST,SN (100.0%)
1142,HMWTHY,SW (100.0%)
1143,HNCHLYW,SW (100.0%)
1144,HNDFRTH,NT (100.0%)
1145,HNDSHWT,CH (1.33%); LM (98.67%)
1146,HNGT,NT (100.0%)
1147,HNTL,SR (100.0%)
1148,HNTNGDN,GN (7.96%); TL (92.04%)
1149,HOCKLEY,LE (100.0%)
1150,HOLTONH,SW (100.0%)
1151,HOLYTWN,SR (100.0%)
1152,HOMRTON,LO (100.0%)
1153,HONITON,GW (1.93%); SW (98.07%)
1154,HONLEY,NT (100.0%)
1155,HONROPK,LO (78.93%); SN (21.07%)
1156,HONYBRN,GW (100.0%)
1157,HOOK,SW (100.0%)
1158,HOOTON,ME (100.0%)
1159,HOPC,AW (100.0%)
1160,HOPD,EM (5.0%); NT (95.0%)
1161,HOPTONH,AW (100.0%)
1162,HORD,NT (100.0%)
1163,HORLEY,SN (13.39%); TL (86.61%)
1164,HORSHAM,SN (99.92%); TL (0.08%)
1165,HORWICH,NT (100.0%)
1166,HOSCAR,NT (100.0%)
1167,HOUGHGR,EM (1.31%); NT (98.69%)
1168,HOUNSLW,SW (100.0%)
1169,HOVE,SN (99.02%); TL (0.98%)
1170,HOWDEN,HT (26.53%); NT (63.61%); TP (9.86%)
1171,HOWOOD,SR (100.0%)
1172,HOWWOOD,LM (100.0%)
1173,HOXTON,LO (100.0%)
1174,HOYLAKE,ME (100.0%)
1175,HRGY,GN (100.0%)
1176,HRGYGL,LO (100.0%)
1177,HRLC,AW (100.0%)
1178,HRLDWOD,XR (100.0%)
1179,HRLG,TL (100.0%)
1180,HRLNGRD,EM (21.88%); LE (78.12%)
1181,HRLWMIL,LE (100.0%)
1182,HRLWTWN,LE (100.0%)
1183,HRNBPK,NT (100.0%)
1184,HRNEBAY,SE (100.0%)
1185,HRNSY,GN (100.0%)
1186,HROW,LM (70.65%); SN (29.35%)
1187,HROWDC,LO (100.0%)
1188,HRPNDN,TL (100.0%)
1189,HRSLEY,SW (100.0%)
1190,HRSM,SE (100.0%)
1191,HRSTGRN,SN (96.96%); TL (3.04%)
1192,HRTLEPL,GC (26.09%); NT (73.91%)
1193,HRTW,SR (100.0%)
1194,HSFT,GR (16.89%); NT (83.11%)
1195,HTCHEND,LO (100.0%)
1196,HTCP,NT (100.0%)
1197,HTFLASF,NT (95.86%); TP (4.14%)
1198,HTHRGRN,SE (100.0%)
1199,HTNCRNS,NT (100.0%)
1200,HTNRIBL,NT (100.0%)
1201,HTRBUS2,GW (100.0%)
1202,HTRBUS3,GW (100.0%)
1203,HTRBUS5,GW (100.0%)
1204,HTRWAPT,XR (100.0%)
1205,HUCKNAL,EM (100.0%)
1206,HULL,HT (6.83%); NT (93.17%)
1207,HUNCOAT,NT (100.0%)
1208,HUNGRFD,GW (100.0%)
1209,HUNMNBY,NT (100.0%)
1210,HUNTSX,EM (5.52%); NT (94.48%)
1211,HUYTON,NT (100.0%)
1212,HWKHEAD,SR (100.0%)
1213,HWYCOMB,CH (100.0%)
1214,HYDB,NT (100.0%)
1215,HYDEC,NT (100.0%)
1216,HYDEN,NT (100.0%)
1217,HYDNSRD,TL (100.0%)
1218,HYKEHAM,EM (100.0%)
1219,HYNDLND,SR (100.0%)
1220,HYWRDSH,GX (2.8%); SN (45.99%); TL (51.21%)
1221,IFIELD,SN (6.64%); TL (93.36%)
1222,ILFORD,XR (100.0%)
1223,ILKES,EM (21.9%); NT (78.1%)
1224,INCE,NT (100.0%)
1225,INEL,NT (100.0%)
1226,INGTSTN,LE (100.0%)
1227,INSCH,SR (100.0%)
1228,INVERKP,SR (100.0%)
1229,INVGWRE,SR (100.0%)
1230,INVRSHN,SR (100.0%)
1231,INVURIE,SR (100.0%)
1232,IPSWICH,LE (100.0%)
1233,IRLAM,EM (0.86%); NT (99.14%)
1234,IRVN,SR (100.0%)
1235,ISLEWTH,SW (100.0%)
1236,ISLIP,CH (100.0%)
1237,IVER,GW (3.24%); XR (96.76%)
1238,IVRGRD,SR (100.0%)
1239,IVRKTHG,CS (2.59%); GR (7.65%); SR (89.76%)
1240,IVRNESS,SR (100.0%)
1241,IVYBDGE,GW (100.0%)
1242,JAMCOK,NT (100.0%)
1243,JAMESST,ME (100.0%)
1244,JHNSTND,AW (100.0%)
1245,JOHNSTN,SR (100.0%)
1246,JORDANH,SR (100.0%)
1247,KCLD,CS (3.68%); GR (10.9%); SR (85.42%)
1248,KDRMNST,LM (99.63%); LS (0.37%)
1249,KEARSLY,NT (100.0%)
1250,KEIGHLY,GR (1.37%); NT (98.47%); WR (0.15%)
1251,KEITH,SR (100.0%)
1252,KELVEDN,LE (100.0%)
1253,KEMBLE,GW (99.45%); LS (0.55%)
1254,KEMSING,SE (100.0%)
1255,KENDAL,NT (100.0%)
1256,KENISHD,SR (100.0%)
1257,KENLSTN,LM (100.0%)
1258,KENNETT,LE (100.0%)
1259,KENOLYM,LO (81.96%); SN (18.04%)
1260,KENR,LO (100.0%)
1261,KENSLG,LO (30.65%); LT (69.35%)
1262,KENTHOS,SE (100.0%)
1263,KETR,EM (100.0%)
1264,KEWBDGE,SW (100.0%)
1265,KEWGRDN,LO (35.91%); LT (64.09%)
1266,KEYHAM,GW (100.0%)
1267,KEYNSCH,GW (100.0%)
1268,KEYNSHM,GW (100.0%)
1269,KGHN,SR (100.0%)
1270,KGPK,SR (100.0%)
1271,KGSTON,SW (100.0%)
1272,KGUSSIE,CS (11.71%); GR (9.37%); SR (78.92%)
1273,KGWD,SN (100.0%)
1274,KIDBROK,SE (100.0%)
1275,KIDSGRV,EM (26.42%); LM (37.32%); NT (36.26%)
1276,KIDWELY,AW (91.6%); GW (8.4%)
1277,KILDONN,SR (100.0%)
1278,KILGETY,AW (100.0%)
1279,KILMRNK,LS (1.89%); SR (98.11%)
1280,KILWNNG,SR (100.0%)
1281,KINBRAC,SR (100.0%)
1282,KINGHAM,GW (100.0%)
1283,KINSSTN,CH (47.76%); GW (52.24%)
1284,KINTORE,SR (100.0%)
1285,KIRBYX,LE (100.0%)
1286,KIRKHAM,NT (100.0%)
1287,KKSNDAL,NT (97.77%); TP (2.23%)
1288,KLBRNHR,LO (100.0%)
1289,KLDL,NT (100.0%)
1290,KLGL,LM (100.0%)
1291,KLMAURS,SR (100.0%)
1292,KLPTRCK,SR (100.0%)
1293,KMPSTNH,LM (100.0%)
1294,KMPTNPK,SW (100.0%)
1295,KMSLY,SE (100.0%)
1296,KNCKHLT,SE (100.0%)
1297,KNEBWTH,GN (0.27%); TL (99.73%)
1298,KNGW,SR (100.0%)
1299,KNGX,GN (66.67%); TL (33.33%)
1300,KNIGHTN,AW (100.0%)
1301,KNLY,SN (100.0%)
1302,KNLYBUS,SN (100.0%)
1303,KNORTON,LM (100.0%)
1304,KNRSBGH,NT (100.0%)
1305,KNTBRY,GW (100.0%)
1306,KNTNGLY,NT (100.0%)
1307,KNTSHTN,TL (100.0%)
1308,KNTSHTW,LO (100.0%)
1309,KNUCKLS,AW (100.0%)
1310,KNUTSFD,NT (100.0%)
1311,KNYMPTN,GW (100.0%)
1312,KRKBYIF,NT (100.0%)
1313,KRKC,LS (2.44%); SR (97.56%)
1314,KRKDALE,ME (100.0%)
1315,KRKH,SR (100.0%)
1316,KRKNWTN,SR (100.0%)
1317,KRKSLFR,NT (100.0%)
1318,KRKWOOD,SR (100.0%)
1319,KRKYCEN,EM (100.0%)
1320,KSNY,SE (100.0%)
1321,KSTP,NT (100.0%)
1322,KTBK,NT (100.0%)
1323,KTON,LO (46.14%); LT (53.86%)
1324,KVTNBDG,NT (100.0%)
1325,KVTNPK,NT (100.0%)
1326,KYLEAKN,SR (100.0%)
1327,LADYBNK,SR (100.0%)
1328,LAINDON,CC (100.0%)
1329,LAIRG,SR (100.0%)
1330,LAKEIOW,IL (100.0%)
1331,LAKNHTH,LE (100.0%)
1332,LAMBH,SR (100.0%)
1333,LAMPHEY,AW (100.0%)
1334,LANCSTR,NT (36.23%); TP (26.23%); VT (37.54%)
1335,LANDUDJ,AW (83.75%); VT (16.25%)
1336,LANFRFC,AW (100.0%)
1337,LANGLEY,GW (5.56%); XR (94.44%)
1338,LAPFORD,GW (100.0%)
1339,LAPWRTH,CH (64.96%); LM (35.04%)
1340,LARBERT,SR (100.0%)
1341,LARKHAL,SR (100.0%)
1342,LAWRNCH,GW (100.0%)
1343,LAYTON,NT (100.0%)
1344,LAZKRKO,NT (100.0%)
1345,LBDR,AW (100.0%)
1346,LBGHJN,TL (100.0%)
1347,LCEILOB,SR (100.0%)
1348,LCHALRT,SR (100.0%)
1349,LCHC,LM (100.0%)
1350,LCHESDE,SR (100.0%)
1351,LCHGLLY,SR (100.0%)
1352,LCHLCHR,SR (100.0%)
1353,LCHTTVL,LM (78.1%); VT (21.9%)
1354,LCHWNCH,SR (100.0%)
1355,LCKRBIE,TP (81.55%); VT (18.45%)
1356,LDBURY,GW (25.12%); LM (74.88%)
1357,LDLNGTN,LM (100.0%)
1358,LDYW,SE (100.0%)
1359,LEABDGE,LE (100.0%)
1360,LEAGRVE,TL (100.0%)
1361,LEAHALL,LM (100.0%)
1362,LEALHLM,NT (100.0%)
1363,LEASOWE,ME (100.0%)
1364,LEEDS,GR (9.15%); NT (25.47%); TP (50.99%); WR (0.11%); XC (14.3%)
1365,LEEE,SE (100.0%)
1366,LEGR,NT (62.41%); TP (37.59%)
1367,LEIGBUS,SN (100.0%)
1368,LEIGHK,SN (100.0%)
1369,LELANT,GW (100.0%)
1370,LELANTS,GW (100.0%)
1371,LENHAM,SE (100.0%)
1372,LENZIE,SR (100.0%)
1373,LEOMNST,AW (100.0%)
1374,LESTER,EM (84.01%); XC (15.99%)
1375,LETHRHD,SN (48.61%); SW (51.39%)
1376,LEUCHRS,CS (5.01%); GR (14.83%); SR (80.16%)
1377,LEWES,SN (100.0%)
1378,LEWISHM,SE (100.0%)
1379,LEYLAND,NT (100.0%)
1380,LEYTNMR,LO (100.0%)
1381,LFPW,AW (100.0%)
1382,LGBK,SR (100.0%)
1383,LGFD,SE (100.0%)
1384,LGHO,NT (100.0%)
1385,LGML,EM (19.21%); NT (80.79%)
